品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
中兴A602（2GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MT6737|1.25GHz|3000mAh  不可拆卸式电池|800万像素|Android 6.0|2GB|450
Moto 青柚（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙430（MSM8937）|1.4GHz  八核|3000mAh|1600万像素|ZUI 3.1（基于Android 7.1）|4GB|1299
国美C72（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸|1300万像素+500万像素|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机，平板手机，拍照手机|电容屏，多点触控|即将上市
索尼Xperia L1（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  1280x720像素|联发科 MT6737|1.45GHz  四核|2620mAh|1300万像素|Android 7.0|2GB|1399
华硕电神4（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MT6750|1.5GHz  八核|5000mAh  不可拆卸式电池|1300万像素+800万像素|省事儿3.9（基于Android 7.0）|3GB|1099
三星GALAXY J7 Prime（全网通）|移动TD-LTE|5.5英寸  1920x1080像素|三星 Exynos 7870|3300mAh|1300万像素|Android 6.0|3GB|16GB/32GB|1619
海信金刚4 PRO（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.18英寸  2246x1080像素|SDM636|4000mAh  不可拆卸式电池|1300万像素+200万像素|Android O|4GB|128GB|1699
酷派5263（电信4G）|电信TD-LTE，电信FDD-LTE|5英寸  854x480像素|500万像素|Android 4.4|512MB|4GB|双卡，Micro SIM卡|30万像素|249
国美Fenmmy Note（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|联发科 MT6763T|2.3GHz  八核|3500mAh|1300万像素+500万像素|GOME OS 2.0|4GB|899
努比亚Z11（黑金版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙820（MSM8996）|2.15GHz  四核|3000mAh  不可拆卸式电池|1600万像素|nubia UI 4.0（基于Android 6.0）|6GB|1799
联想K10（K10e70/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|2300mAh|800万像素|1GB/2GB|8GB/16GB|双卡，Micro SIM卡|200万像素|459
酷比F1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸|1.5GHz  八核|3000mAh  不可拆卸式电池|双1600万像素|dido OS 7.6（基于Android 6.0）|4GB|64GB|1999
酷派锋尚Pro2（Y91-921/高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙415（MSM8929）|1.4GHz  八核|2500mAh  不可拆卸式电池|1300万像素|CoolUI 8.0青春版（基于Android 5.1）|4GB|549
Moto Z2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2560x1600像素|高通 骁龙835（MSM8998）|CMOS|LED补光灯|2017年|4G手机，3G手机，智能手机，平板手机，拍照手机，快充手机|电容屏，多点触控|概念产品
中国移动W1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.19英寸  1520x720像素|高通 骁龙450|1.8GHz  八核|3400mAh  不可拆卸式电池|1300万像素+200万像素|4GB|64GB|899
魅族PRO 6（移动4G）|移动TD-LTE|5.2英寸  1920x1080像素|联发科 Helio X25（MT6797T）|1.4GHz x4 + 2.0GHz x4 + 2.5GHz x2  十核|2560mAh  不可拆卸式电池|2116万像素|Flyme|4GB|1898
金立W919（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4.2英寸  1280x720像素|2.5GHz  八核|3000mAh  不可拆卸式电池|1600万像素|Android 7.0|6GB|128GB|概念产品
华为nova 4e（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.15英寸|海思 Kirin 710|4000mAh  不可拆卸式电池|4000万像素+2000万像素+800万像素|EMUI 9.0（基于Android 9.0）|6GB|64GB/128GB|概念产品
努比亚Z17 mini（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙652（MSM8976）|2950mAh  不可拆卸式电池|双1300万像素|nubia UI 4.0 Z17mini定制版（基于Android M）|4GB|64GB|999
华为nova Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|3340mAh  不可拆卸式电池|1600万像素|EMUI 4.1（基于Android 6.0）|3GB|32GB|即将上市
荣耀畅玩6X（4GB RAM/移动全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|海思 Kirin 655|2.1GHz（大四核），1.7GHz（小四核）  八核|3340mAh  不可拆卸式电池|1200万像素+200万像素|EMUI 4.1（基于Android 6.0）|4GB|1169
中国移动A4（移动4G）|移动TD-LTE|5英寸  1280x720像素|2800mAh|500万像素|YunOS|1GB|8GB/16GB|双卡|338
三星2016版GALAXY J7（J7109/电信4G）|电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|三星 Exynos 7580|1.6GHz  八核|3300mAh  可拆卸式电池|1300万像素|Android 5.1|3GB|780
AGM X2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙653（MSM8976 Pro）|1.95GHz  八核|6000mAh|双1200万像素|XOS 2.0（基于Android 7.1）|6GB|2799
联想MA388|3.5英寸  480x320像素|1900mAh  可拆卸式电池|30万像素|64MB|双卡，SIM卡|MicroSD卡|CMOS|2013年06月|240
荣耀V9 Play（3GB RAM/标准版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1280x720像素|联发科 MT6750|1.5GHz（大四核），1.0GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素|EMUI 5.1（基于Android 7.0）|3GB|769
国美S1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1280x720像素|联发科 MT6737|1.2GHz  四核|4000mAh|1300万像素|Android 6.0 + GMOS 1.5|3GB|1299
诺基亚3310 （3G版）|2.4英寸  320x240像素|1200mAh  可拆卸式电池|200万像素|Nokia Series 30+|QVGA|CMOS|LED补光灯|2017年10月
雷蛇Razer Phone 2.0（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|GPS导航|概念产品
魅族魅蓝3s（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|MTK MT6750|1.5GHz（大四核），1.0GHz（小四核）  八核|3020mAh  不可拆卸式电池|1300万像素|Flyme 5|3GB|899
HTC 10（骁龙820版/联通4G）|联通TD-LTE，联通FDD-LTE|5.2英寸  2560x1440像素|高通 骁龙820（MSM8996）|3000mAh  不可拆卸式电池|1200万像素|HTC Sense 8.0（基于Android 6.0）|4GB|64GB|3799
华硕ZenFone 5z（全网通）|6.2英寸  2246x1080像素|高通 骁龙845|1200万像素+800万像素|ZenUI 5.0（基于Android 8.0）|4GB/6GB/8GB|64GB/128GB/256GB|800万像素|LED补光灯|即将上市
vivo V1820T（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|高通 骁龙710 AIE|2.2GHz  八核|3425mAh  不可拆卸式电池|1200万像素双核像素主摄（OIS）+1300万像素广角镜头+200万像素夜视摄像头|Funtouch Os 4.5（基于Android 9.0）|8GB|概念产品
海尔I502（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6735|2200mAh|800万像素|Android 6.0|3GB|32GB|448
索尼Xperia Z5（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙810（MSM8994）|2.0GHz（大四核），1.5GHz（小四核）  八核|2900mAh  不可拆卸式电池|2300万像素|Android 5.1|3GB|2799
康佳D7（移动4G）|移动TD-LTE|5.5英寸  1280x720像素|展讯 SC9832|1.3GHz  四核|2200mAh  可拆卸式电池|800万像素|YIUI易柚 4.0|2GB|699
荣耀畅玩6C（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙435（MSM8940）|2900mAh|1300万像素|EMUI 4.1（基于Android 6.0）|3GB/4GB|32GB|概念产品
海信双屏手机A2 PRO（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙|3090mAh  不可拆卸式电池|1200万像素|Vision 5.0（基于Android 7.0）|4GB|64GB|1298
中兴Blade A2S（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|联发科 MT6753|1.3GHz  八核|2540mAh|1300万像素|MiFavor UI 3.5（基于Android 6.0）|3GB|650
Moto X4（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙630|3000mAh|1200万像素+800万像素|Android 7.1|4GB|64GB|2799
中兴Blade A2 Plus（标配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 MT6750T|1.5GHz  八核|5000mAh  不可拆卸式电池|1300万像素|Mifavor 3.5（基于Android 6.0）|3GB|829
国美U7mini（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.47英寸  1440x720像素|联发科 Helio X20|2800mAh|1300万像素|GOME OS 2.0|4GB|64GB|899
三星2018版GALAXY A6（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.6英寸|1.6GHz|3000mAh|1600万像素|Android 8.0|32GB/64GB|1600万像素|即将上市
中国移动N3（4GB RAM/标准版/全网通）|移动TD-LTE|5.93英寸  2160x1080像素|高通 骁龙450|3400mAh|1200万像素+200万像素|4GB|64GB|双卡|988
imoo 学习手机（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  1920x1080像素|2.0GHz  八核|2930mAh  不可拆卸式电池|1300万像素|Android 6.0|3GB|32GB|2498
朵唯L520（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MT6750C|1.5GHz  八核|3000mAh  不可拆卸式电池|1300万像素|YunOS 5.1|4GB|1569
红鸟健康云手机H1|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3420mAh  不可拆卸式电池|1300万像素|Android 6.0|4GB|5890
OPPO F3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2017年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|GPS导航|即将上市
努比亚M2畅玩版（移动4G）|移动TD-LTE|5.5英寸  1280x720像素|高通 骁龙435（MSM8940）|1.4GHz（大四核），1.1GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素|nubia UI 4.5（基于Android M）|3GB|799
Microsoft 360度折叠手机|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|2017|4G手机，3G手机，智能手机，双屏手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000）|GPS导航，A-GPS技术，GLONASS导航，北斗导航|翻盖|支持3GP/MP4等格式|概念产品
苹果iPhone 7（特别版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4.7英寸  1334x750像素|苹果 A10+M10协处理器|1960mAh  不可拆卸式电池|1200万像素|iOS 10|2GB|128GB/256GB|4680
海信U30（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2340x1080像素|高通 骁龙675（MSM6150）|2.0GHz  八核|4500mAh  不可拆卸式电池|4800万像素+500万像素|Android 9.0|6GB/8GB|即将上市
小米红米S2（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3080mAh  不可拆卸式电池|1200万像素+500万像素|MIUI 9（基于Android 8.1）|4GB|898
康佳S3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1280x720像素|联发科 MT6737|1.25GHz  四核|2500mAh  不可拆卸式电池|1300万像素+30万像素|YIUI易柚 3.2（基于YunOS 5.1）|3GB|1499
飞利浦S310X（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6737|1.25GHz  四核|2000mAh  可拆卸式电池|500万像素|Android 6.0|3GB|599
诺基亚3.1 Plus（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  1440x720像素|联发科 Helio P22|3500mAh  不可拆卸式电池|1300万像素+500万像素|Android 8.1|3GB|32GB|799
LG G5（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.3英寸  2560x1440像素|高通 骁龙820（MSM8996）|2.1GHz  四核|2700mAh  可拆卸式电池|1600万像素+800万像素|Android 6.0|4GB|2700
Moto E4 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙427|5000mAh|1300万像素|Android 7.1|2GB|16GB/32GB|1459
小米6（陶瓷尊享版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.15英寸  1920x1080像素|高通 骁龙835（MSM8998）|2.45GHz  八核|3350mAh  不可拆卸式电池|双1200万像素|MIUI 8|6GB|2599
美图T9美少女战士限量版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙660|2.2GHz  八核|3100mAh  不可拆卸式电池|1200万像素+500万像素|MEIOS4.3（基于Android 8.1）|4GB|3099
sonim XP7s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4英寸  800x480像素|高通 骁龙615（MSM8939）|1.5GHz  八核|4820mAh  不可拆卸式电池|1300万像素|Android 5.1|3GB|6299
AGM X1（标配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙617（MSM8952）|1.5GHz  八核|5400mAh  不可拆卸式电池|双1300万像素|X OS 1.0|3GB|1299
Moto E5 Plus（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  1440x720像素|高通 骁龙430（MSM8937）|1.4GHz  八核|5000mAh  不可拆卸式电池|1200万像素|ZUI 3.5（基于Android 8.0）|4GB|1699
荣耀畅玩6A（高配版/移动全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙430（MSM8937）|1.4GHz（大四核），1.1GHz（小四核）  八核|3020mAh  不可拆卸式电池|1300万像素|EMUI 5.1（基于Android 7.0）|3GB|749
小米8S（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM）|直板|概念产品
TCL Y660（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|联发科 MT6739|3000mAh|1300万像素+500万像素|Android 7.1|3GB|32GB|598
飞利浦S562Z （全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|1.5GHz  八核|3000mAh  不可拆卸式电池|双1300万像素|Android|4GB|64GB|798
LG G6+（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2880x1440像素|高通 骁龙821（MSM8996 Pro）|3300mAh  不可拆卸式电池|双1300万像素|LG UX 6.0（基于Android 7.0）|4GB|64GB|4399
360 手机1713-A01（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙630|CMOS|LED补光灯|2017年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|概念产品
小米7 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.1英寸|高通 骁龙845|3500mAh|2000万像素+1200万像素|6GB|128GB/256GB|1300万像素|概念产品
努比亚Z11（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙820（MSM8996）|2.15GHz  四核|3000mAh  不可拆卸式电池|1600万像素|nubia UI 4.0（基于Android 6.0）|4GB|1499
中兴Blade V8（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙435（MSM8940）|1.4GHz（大四核），1.0GHz（小四核）  八核|2730mAh  不可拆卸式电池|1300万像素+200万像素|Android|4GB|1199
小辣椒红辣椒4A（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|4000mAh  不可拆卸式电池|1600万像素|FreeMe OS（基于Android 7.1）|4GB|759
索尼Xperia XZ（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙820（MSM8996）|2.2GHz  四核|2900mAh|2300万像素|Android 6.0|3GB|3999
TCL Palm（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|3.3英寸  1280x720像素|高通 骁龙435|800mAh|2100万像素|Android 8.1|3GB|32GB|即将上市
OPPO F9 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸|联发科 Helio P60（MT6771）|2.0GHz  八核|3500mAh  不可拆卸式电池|2500万像素|Color OS 5.2（基于Android 8.0）|4GB/6GB|概念产品
酷派8722V（标准版/移动4G）|移动TD-LTE|5英寸  1280x720像素|联发科 MT6735P|1.0GHz|2000mAh  不可拆卸式电池|800万像素|Android 5.1|1GB|299
酷派酷玩7C（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1440x720像素|联发科 MT6750|1.5GHz  八核|2500mAh  不可拆卸式电池|800万像素|Android|4GB|799
康佳D6S（移动4G）|移动TD-LTE|5英寸  1280x720像素|1.3GHz|2000mAh  可拆卸式电池|800万像素|YunOS|2GB|16GB|463
华为Y6 Pro（移动4G）|移动TD-LTE|5英寸  1280x720像素|联发科 MT6735P|1.3GHz|4000mAh|1300万像素|Android 5.1|2GB|概念产品
魅族MX7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙660|3300mAh|1300万像素|Flyme|2GB/3GB/4GB|16GB/32GB/64GB|概念产品
纽曼V98（全网通）|2.4英寸  320x240像素|5000mAh  可拆卸式电池|30万像素|32MB|32MB|2018年06月|老人手机，三防手机|联通2G/移动2G（GSM），电信2G（CDMA）|299
独影天幕SH800（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 MT6753|1.5GHz  八核|4500mAh|1300万像素|3GB|64GB|3999
LG Q6（全网通） |移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2160x1080像素|高通 骁龙435（MSM8940）|3000mAh|1300万像素|Android 7.1|3GB|32GB|1750
米蓝M4_L1S（移动4G）|移动TD-LTE|5英寸  1280x720像素|1.7GHz  八核|2300mAh  不可拆卸式电池|1300万像素|Freeme OS 5.0（基于Android 4.4）|2GB|16GB|2199
索尼Xperia Flex（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  3840x2160像素|4500mAh|1900万像素+1200万像素|6GB/8GB|128GB/256GB/512GB|双1300万像素|OLED|概念产品
8848 故宫贺岁版手机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1920x1080像素|2100万像素|4GB|128GB|双卡|300万像素|CMOS|2万
